key,display_code,edition_year,title,status,category,subcategory,compliance_mandatory,verification_level,flags,has_full_text,confidence_tier
IS 1912,IS 1912,,Country Jute Twine,ACTIVE,Textiles & Garments,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1929,IS 1929:1982,1982,HOT FORGED STEEL RIVETS FOR HOT CLOSING,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1932,IS 1932,,Mustard And Rape Seed Oilcake As Livestock Feed Ingredient,ACTIVE,Food & Agriculture,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1943,IS 1943,,Textiles- A-twill Jute Bags,ACTIVE,Civil & Construction Materials,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1948,IS 1948:1961,1961,"ALUMINIUM DOORS, WINDOWS AND",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1949,IS 1949:1961,1961,ALUMINIUM WINDOWS FOR,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1970,IS 1970,,Crop Protection Equipment — Hand-Operated Compression Knapsack Sprayer,ACTIVE,Pumps & Mechanical Equipment,,,single_source_unconfirmed,no_full_text|certification_status_unknown,False,single_source
IS 1971,IS 1971,,Crop Protection Equipment - Hand-operated Stirrup-type Sprayer,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1977,IS 1977:1996,1996,LOW TENSILE STRUCTURAL  STEEL,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1989 (Part 1),IS 1989 (Part 1),,Leather Safety Boots And Shoes - Part 1 : For Miners,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1989 (Part 2),IS 1989 (Part 2),,Leather Safety Boots And Shoes - Part 2 : For Heavy Metal Industries,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1997,IS 1997:2006,2006,Laboratory Glassware - Burettes,ACTIVE,Packaging & Containers,Metal Packaging,True,single_source_unconfirmed,no_full_text,False,single_source
IS 2002,IS 2002:1979,1979,Steel Plates For Pressure Vessels For Intermediate And High Temperature Service Including Boilers,ACTIVE,Steel & Metallurgy,,True,needs_review,source_conflict_present,True,multi_source
IS 2016,IS 2016:1967,1967,Plain Washers — Specification,ACTIVE,MECHANICAL,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2026 (Part 1),IS 2026 (Part 1):2011,2011,Power Transformers - Part 1: General Requirements,ACTIVE,Electrical,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 2028,IS 2028,,Open-jaw Wrenches (spanners),ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2029,IS 2029,,Ring Wrenches (spanners),ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2036,IS 2036:1995,1995,PHENOLIC LAMINATED SHEETS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2039 (Part 1 to 3),IS 2039 (Part 1 to 3),,Steel Tubes For Bicycle And Cycle Rickshaws,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 2041,IS 2041,,Steel Plates For Pressure Vessels Used At Moderate And Low Temperature,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 2046,IS 2046:1995,1995,Decorative Thermosetting Synthetic Resin Bonded Laminated Sheets,ACTIVE,"Plastics, Chemicals & Rubber",,,verified_multi_source,certification_status_unknown,True,multi_source
IS 2052,IS 2052,,Compounded Feeds For Cattle,ACTIVE,Food & Agriculture,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2061,IS 2061,,Bicycle - Front Forks,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2062,IS 2062:2011,2011,Hot Rolled Medium and High Tensile Structural Steel — Specification,ACTIVE,Structural Steel,Structural Sections,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present|amendment_or_verification_data_self_asserted_not_network_verified,True,multi_source
IS 2065,IS 2065:1983,1983,Code of Practice for Water Supply in Buildings,ACTIVE,Mechanical,,False,single_source_unconfirmed,no_full_text,False,single_source
IS 2074,IS 2074,,"Ready Mixed Paint,Air Drying,Red Oxide-Zinc Chrome,Priming- Specification",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2082,IS 2082:2018,2018,Stationary Storage Type Electric Water Heaters (Electric Water Geysers),ACTIVE,Domestic & Consumer Appliances,Water Heaters,True,single_source_unconfirmed,no_full_text,False,single_source
IS 2086,IS 2086:1993,1993,Semi-Enclosed Electric Fuses (Rewireable Type),ACTIVE,Electrical,,True,verified_multi_source,,True,multi_source
IS 2089,IS 2089,,Common Proofed Canvas/duck And Paulins (tarpaulins),ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2090,IS 2090:1983,1983,HIGH TENSILE STEEL BARS USED IN,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2095 (Part 1),IS 2095 (Part 1):1996,1996,GYPSUM PLASTER BOARDS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2095 (Part 3),IS 2095 (Part 3):1996,1996,GYPSUM PLASTER BOARDS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2096,IS 2096:1992,1992,ASBESTOS CEMENT FLAT SHEETS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2097,IS 2097,,Foam Making Branch Pipe And Foam Inductor- Specification,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 2098,IS 2098:1997,1997,Asbestos Cement Building Boards -,ACTIVE,Civil & Construction Materials,,True,verified_multi_source,,True,multi_source
IS 2104,IS 2104:1981,1981,. WATER METER BOXES (DOMESTIC TYPE),ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2112,IS 2112:2014,2014,Silver Hallmarking,ACTIVE,Precious Metals & Hallmarking,Jewellery & Artefacts,False,single_source_unconfirmed,no_full_text,False,single_source
IS 2116,IS 2116:1980,1980,SAND FOR MASONRY MORTARS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2124,IS 2124,,Sodium Bicarbonate,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2140,IS 2140:1978,1978,STRANDED GALVANIZED STEEL WIRE FOR,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2141,IS 2141,,Hot Dip Galvanized Stay Strand,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2142,IS 2142,,"Bromine, Technical",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2147,IS 2147:1962,1962,Degrees of Protection Provided by Enclosures for Low-Voltage Switchgear and Controlgear,ACTIVE,Electrical,,False,single_source_unconfirmed,no_full_text,False,single_source
IS 2155,IS 2155:1982,1982,COLD FORGED SOLID STEEL RIVETS FOR HOT,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2180,IS 2180:1988,1988,HEAVY DUTY BURNT CLAY BUILDING BRICKS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2185 (Part 1),IS 2185 (Part 1):2005,2005,Concrete Masonry Units — Hollow/Solid Concrete Blocks,ACTIVE,Construction Materials - Masonry,Masonry Units,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present,True,multi_source
IS 2185 (Part 2),IS 2185 (Part 2):1983,1983,CONCRETE MASONRY UNITS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2185 (Part 3),IS 2185 (Part 3):1984,1984,Concrete Masonry Units - Autoclaved Cellular (Aerated) Concrete Blocks (AAC Blocks),ACTIVE,Civil & Construction,Masonry Units,,needs_review,source_conflict_present|certification_status_disputed_across_sources|certification_status_unknown,True,multi_source
IS 2190,IS 2190:2010,2010,"Selection, Installation and Maintenance of First-Aid Fire Extinguishers - Code of Practice",ACTIVE,Mechanical,,False,single_source_unconfirmed,no_full_text,False,single_source
IS 2191 (Part 1),IS 2191 (Part 1):1983,1983,WOODEN FLUSH DOOR SHUTTERS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2191 (Part 2),IS 2191 (Part 2):1983,1983,WOODEN FLUSH DOOR SHUTTERS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2202 (Part 1),IS 2202 (Part 1):1999,1999,Wooden Flush Door Shutters(solid Core Type):Part1Plywood Face Panels,ACTIVE,Civil & Construction Materials,Doors & Windows,True,verified_multi_source,,True,multi_source
IS 2202 (Part 2),IS 2202 (Part 2):1983,1983,WOODEN FLUSH DOOR SHUTTERS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2206,IS 2206:2009,2009,Industrial Safety Helmets — Specification,ACTIVE,HEALTHCARE,,,unverified,no_full_text|demo_only_unverified_source|certification_status_unknown,False,demo_only
IS 2209,IS 2209:1976,1976,MORTICE LOCKS (VERTICAL TYPE),ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2222,IS 2222:1991,1991,BURNT CLAY PERFORATED BUILDING BRICKS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2257,IS 2257,,"Paper Adhesives, Liquid Gum And Office Paste Type-specification",ACTIVE,"Plastics, Chemicals & Rubber",,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2266,IS 2266,,Steel Wire Ropes For General Engineering Purposes,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 2309,IS 2309:1989,1989,Code of Practice for the Protection of Allied Structures against Lightning,ACTIVE,Electrical,,False,single_source_unconfirmed,no_full_text,False,single_source
IS 2312,IS 2312:1967,1967,Exhaust Fans - Specification,ACTIVE,Electrical,,True,verified_multi_source,no_full_text,False,multi_source
IS 2314,IS 2314:1986,1986,STEEL SHEET PILLING SECTIONS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2326,IS 2326:1987,1987,AUTOMATIC FLUSHING CISTERNS FOR URINALS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2339,IS 2339,,Wheat Bran As Livestock Feed,ACTIVE,Food & Agriculture,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 2347,IS 2347:2017,2017,Domestic Pressure Cookers,ACTIVE,Domestic & Consumer Appliances,Kitchenware,True,single_source_unconfirmed,no_full_text,False,single_source
IS 2365,IS 2365:1977,1977,"Steel Wire Suspension Ropes For Lifts, Elevators And Hoists",ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 2372,IS 2372:2004,2004,TIMBER FOR COOLING TOWERS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2373,IS 2373:1981,1981,WATER METERS (BULK TYPE),ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 2386 (Part 1),IS 2386 (Part 1):1963,1963,Methods of Test for Aggregates for Concrete - Particle Size and Shape,ACTIVE,Civil & Construction,,False,single_source_unconfirmed,no_full_text,False,single_source
